VentaID;FechaVenta;HoraVenta;SucursalNombre;CiudadSucursal;VendedorNombre;ClienteNombre;GeneroCliente;EdadCliente;EmailCliente;TelefonoCliente;DireccionCliente;MetodoPago;NombreProducto1;MarcaProducto1;CantidadProducto1;PrecioUnitarioProducto1;SubtotalProducto1;NombreProducto2;MarcaProducto2;CantidadProducto2;PrecioUnitarioProducto2;SubtotalProducto2;NombreProducto3;MarcaProducto3;CantidadProducto3;PrecioUnitarioProducto3;SubtotalProducto3;DescuentoVenta;TotalVenta
36;25/05/2020;3:33:53 p. m.;Techcore Bogotá #1;Bogotá;Evaristo Guillen Peña;Eligio Baena-Fabra;M;40;eligio3@hotmail.com;+34881170487;cll 30 #7-13;Tarjeta Crédito;MSI GS66 Stealth;MSI;2;8000000;16000000;Samsung Galaxy Book Pro;Samsung;1;4800000;4800000;;;null;null;null;1;18720000
37;7/06/2018;11:06:40 a. m.;Techcore Medellín #1;Medellín;Eusebia Jara Macias;Eladio Carmelo Arellano Benavides;M;28;eladio27@yahoo.com;+34856577487;cll 89 #71-2;Tarjeta Crédito;Asus ZenBook 14;Asus;2;3800000;7600000;;;null;null;null;;;null;null;null;0;7600000
38;9/07/2021;10:32:45 a. m.;Techcore Medellín #2;Medellín;Juan José Porcel-Riera;Consuela del Rubio;F;42;consuela56@yahoo.com;+34735771746;cll 74 #62-24;Tarjeta Crédito;Dell XPS 13;Dell;2;4800000;9600000;HP Spectre x360;HP;2;5200000;10400000;;;null;null;null;1;18000000
39;1/05/2021;10:23:04 a. m.;Techcore Medellín #2;Medellín;Luisina Lasa;Victoriano Ocaña Perales;M;18;victoriano88@hotmail.com;+34875084762;cll 39 #99-93;Tarjeta Débito;Lenovo Legion 5 Pro;Lenovo;1;7200000;7200000;;;null;null;null;;;null;null;null;0;7200000
40;26/04/2023;1:00:12 p. m.;Techcore Medellín #2;Medellín;Juanito Diaz;Adrián Roda Pareja;M;30;adrian63@hotmail.com;+34978063493;cll 29 #24-95;Billetera Digital;Dell Latitude 7420;Dell;2;5600000;11200000;Lenovo ThinkPad X1 Carbon;Lenovo;1;6800000;6800000;Apple MacBook Pro 14;Apple;2;8000000;16000000;0;34000000
41;7/04/2023;5:38:51 a. m.;Techcore Medellín #2;Medellín;Juanito Diaz;Juan Bautista Carrión Barros;M;37;juan28@hotmail.com;+34878357287;cll 76 #84-70;Tarjeta Crédito;Dell Inspiron 15;Dell;1;3000000;3000000;Acer Predator Helios 300;Acer;2;5600000;11200000;;;null;null;null;0;14200000
42;19/05/2017;7:34:57 p. m.;Techcore Pereira;Pereira;Amílcar Ortega-Alberto;Maxi Borrell Nicolau;F;23;maxi87@gmail.com;+34975216223;cll 82 #42-38;No Especificado;HP Omen 16;HP;1;6000000;6000000;Apple MacBook Air M1;Apple;1;5500000;5500000;Dell Latitude 7420;Dell;2;5600000;11200000;5;21565000
43;17/03/2018;7:00:49 a. m.;Techcore Bogotá #2;Bogotá;Eloísa Plaza Hurtado;Úrsula Miranda Alcalá;F;46;No especificado;+34876095711;cra 64 #7-25;Tarjeta Crédito;Microsoft Surface Go 3;Microsoft;1;3000000;3000000;Lenovo ThinkPad X1 Carbon;Lenovo;2;6800000;13600000;HP Omen 16;HP;2;6000000;12000000;0;28600000
44;31/05/2018;5:12:56 a. m.;Techcore Medellín #1;Medellín;Ibán López Córdoba;Noemí Solano Aramburu;F;39;noemi90@hotmail.com;+34846170671;cra 3 #25-6;Transferencia;Lenovo IdeaPad 5;Lenovo;2;2800000;5600000;Acer Aspire 5;Acer;2;2000000;4000000;Lenovo ThinkPad X1 Carbon;Lenovo;2;6800000;13600000;0;23200000
45;7/10/2022;12:44:17 p. m.;Techcore Bogotá #2;Bogotá;Eloísa Plaza Hurtado;Andrea de Heredia;F;26;andrea67@hotmail.com;+34843792152;cra 34 #53-41;Billetera Digital;Lenovo ThinkPad X1 Carbon;Lenovo;2;6800000;13600000;Lenovo Yoga 7i;Lenovo;2;4400000;8800000;Lenovo Legion 5 Pro;Lenovo;2;7200000;14400000;0;36800000
46;30/09/2018;4:01:17 a. m.;Techcore Medellín #1;Medellín;Eusebia Jara Macias;Brunilda Escudero Pallarès;F;28;brunilda95@yahoo.com;+34960485965;cll 73 #22-84;Tarjeta Crédito;Lenovo Yoga 7i;Lenovo;2;4400000;8800000;Apple MacBook Air M1;Apple;2;5500000;11000000;;;null;null;null;0;19800000
47;27/03/2022;5:26:43 a. m.;Techcore Bogotá #2;Bogotá;Olivia Armas Ayuso;Mariano Sebastian Quiroga Tapia;M;47;mariano6@yahoo.com;+34826288307;cra 32 #17-65;Tarjeta Débito;Apple MacBook Pro 14;Apple;2;8000000;16000000;;;null;null;null;;;null;null;null;5;15200000
48;19/08/2019;3:18:12 p. m.;Techcore Bogotá #1;Bogotá;Poncio Gabriel Poza Acedo;Luís Gaspar Zaragoza Botella;M;34;luis57@hotmail.com;+34826583143;cll 22 #44-70;Tarjeta Crédito;Asus VivoBook 15;Asus;1;2400000;2400000;Dell XPS 13;Dell;1;4800000;4800000;MSI GF65 Thin;MSI;2;4400000;8800000;0;16000000
49;30/04/2024;6:07:59 a. m.;Techcore Medellín #2;Medellín;Juan José Porcel-Riera;Ema Alba Mata Chamorro;F;44;ema39@yahoo.com;+34978135797;cll 41 #21-35;Efectivo;Asus ZenBook 14;Asus;2;3800000;7600000;Lenovo Legion 5 Pro;Lenovo;2;7200000;14400000;;;null;null;null;0;22000000
50;31/08/2020;5:59:28 a. m.;Techcore Medellín #2;Medellín;Juan José Porcel-Riera;Ruperta Martí-Nevado;F;28;ruperta11@hotmail.com;+34834858186;cll 96 #4-5;Tarjeta Crédito;HP Omen 16;HP;2;6000000;12000000;Samsung Galaxy Book Flex;Samsung;2;5600000;11200000;;;null;null;null;0;23200000
51;13/09/2016;10:43:40 p. m.;Techcore Bogotá #1;Bogotá;Aura del Bermúdez;Baltasar Quintanilla Moles;M;38;baltasar29@yahoo.com;+34901348779;cra 27 #98-31;No Especificado;Dell Latitude 7420;Dell;2;5600000;11200000;Asus TUF Gaming A15;Asus;2;4800000;9600000;HP Pavilion 15;HP;2;3500000;7000000;0;27800000
52;22/09/2023;11:05:23 a. m.;Techcore Medellín #2;Medellín;Juanito Diaz;Ofelia Torrecilla Dominguez;F;33;ofelia58@yahoo.com;+34981838943;cra 5 #83-90;Tarjeta Crédito;Apple iMac 24;Apple;1;6400000;6400000;Acer Swift 3;Acer;2;2600000;5200000;Dell XPS 13;Dell;1;4800000;4800000;5;15580000
53;7/01/2016;2:43:03 a. m.;Techcore Medellín #1;Medellín;Dominga del Alcántara;Luis Ángel Carlos Aragonés;M;27;luis23@gmail.com;+34803411782;cll 52 #65-81;Efectivo;Apple MacBook Pro 14;Apple;2;8000000;16000000;;;null;null;null;;;null;null;null;0;16000000
54;1/06/2017;7:50:30 a. m.;Techcore Medellín #2;Medellín;Luisina Lasa;Alfonso Lerma;M;22;alfonso45@gmail.com;+34974417060;cll 37 #23-93;Tarjeta Crédito;HP Envy 13;HP;2;4000000;8000000;Acer Nitro 5;Acer;1;4000000;4000000;Dell Alienware m15;Dell;2;8000000;16000000;0;28000000
55;28/08/2021;6:44:52 a. m.;Techcore Medellín #1;Medellín;Ibán López Córdoba;Marciano Barberá Espada;M;40;marciano12@gmail.com;+34876323627;cra 26 #44-70;Transferencia;Dell XPS 13;Dell;1;4800000;4800000;HP Omen 16;HP;2;6000000;12000000;;;null;null;null;5;15960000
56;16/01/2018;2:50:10 p. m.;Techcore Bogotá #2;Bogotá;Herminia Meléndez-Huguet;Eugenio de Camps;M;25;eugenio55@hotmail.com;+34979910172;cra 10 #40-70;Tarjeta Crédito;Samsung Galaxy Book Pro;Samsung;2;4800000;9600000;Dell XPS 13;Dell;1;4800000;4800000;;;null;null;null;1;12960000
57;16/01/2018;5:10:49 p. m.;Techcore Bogotá #2;Bogotá;Armida Azorin Plaza;Olalla Jáuregui Durán;F;25;olalla76@gmail.com;+34941285934;cra 6 #63-15;No Especificado;HP Spectre x360;HP;2;5200000;10400000;Apple MacBook Pro 14;Apple;1;8000000;8000000;;;null;null;null;0;18400000
58;6/10/2023;6:31:23 p. m.;Techcore Bogotá #2;Bogotá;Herminia Meléndez-Huguet;Xiomara Manuel Barroso;F;26;xiomara18@yahoo.com;+34845704354;cll 81 #21-99;Efectivo;Asus ZenBook 14;Asus;2;3800000;7600000;Lenovo Yoga 7i;Lenovo;1;4400000;4400000;;;null;null;null;0;12000000
59;29/08/2016;3:59:15 a. m.;Techcore Bogotá #1;Bogotá;Aura del Bermúdez;Morena Abascal Luna;F;44;morena58@hotmail.com;+34849067118;cll 56 #91-22;Tarjeta Crédito;MSI Modern 14;MSI;1;2800000;2800000;Apple MacBook Pro 14;Apple;2;8000000;16000000;;;null;null;null;0;18800000
60;23/04/2023;1:37:30 a. m.;Techcore Bogotá #2;Bogotá;Armida Azorin Plaza;Paz Rovira-Segarra;F;26;paz16@gmail.com;+34926546719;cra 13 #69-98;Transferencia;Asus ZenBook 14;Asus;2;3800000;7600000;;;null;null;null;;;null;null;null;5;7220000
61;10/03/2021;2:37:08 a. m.;Techcore Medellín #1;Medellín;Dominga del Alcántara;Ruben Machado;M;34;ruben31@yahoo.com;+34920870860;cll 85 #20-8;Tarjeta Débito;Dell Inspiron 15;Dell;1;3000000;3000000;Lenovo IdeaPad 5;Lenovo;2;2800000;5600000;;;null;null;null;0;8600000
62;23/08/2021;12:55:19 a. m.;Techcore Bogotá #2;Bogotá;Armida Azorin Plaza;Ileana Castejón Uriarte;F;47;ileana72@hotmail.com;+34944240332;cra 66 #10-58;Tarjeta Crédito;Lenovo Yoga 7i;Lenovo;2;4400000;8800000;Microsoft Surface Go 3;Microsoft;2;3000000;6000000;;;null;null;null;0;14800000
63;8/10/2020;2:33:41 p. m.;Techcore Cali;Cali;Basilio Marcos Barrena;Olimpia Palma Bertrán;F;40;olimpia26@hotmail.com;+34848375391;cll 91 #71-96;Tarjeta Débito;Lenovo Legion 5 Pro;Lenovo;1;7200000;7200000;;;null;null;null;;;null;null;null;0;7200000
64;24/09/2018;1:59:44 p. m.;Techcore Medellín #2;Medellín;Juan José Porcel-Riera;Leire Monreal Martin;F;21;leire56@gmail.com;+34902243095;cll 86 #29-65;Tarjeta Crédito;HP Pavilion 15;HP;1;3500000;3500000;Acer Swift 3;Acer;1;2600000;2600000;Acer Predator Helios 300;Acer;1;5600000;5600000;0;11700000
65;7/07/2017;3:35:07 a. m.;Techcore Medellín #1;Medellín;Ibán López Córdoba;Ascensión Florinda Murcia Cervantes;F;23;No especificado;+34822011243;cra 40 #60-34;Tarjeta Débito;Asus ZenBook 14;Asus;1;3800000;3800000;HP Omen 16;HP;1;6000000;6000000;Lenovo Yoga 7i;Lenovo;1;4400000;4400000;0;14200000
66;30/12/2018;3:36:34 a. m.;Techcore Medellín #1;Medellín;Eusebia Jara Macias;Eufemia Lloret Arcos;F;43;eufemia51@hotmail.com;+34858001565;cll 45 #95-87;Billetera Digital;Dell Latitude 7420;Dell;1;5600000;5600000;Dell XPS 13;Dell;1;4800000;4800000;Dell Alienware m15;Dell;2;8000000;16000000;0;26400000
67;2/05/2017;3:27:24 p. m.;Techcore Pereira;Pereira;Carina Parejo Carranza;Begoña Ruiz;F;43;begona45@hotmail.com;+34974249867;cra 97 #23-44;Transferencia;Lenovo Yoga 7i;Lenovo;1;4400000;4400000;Apple MacBook Air M1;Apple;2;5500000;11000000;;;null;null;null;15;13090000
68;4/10/2016;3:06:44 p. m.;Techcore Pereira;Pereira;Anacleto Morera Segovia;Tristán del Mayo;M;32;tristan75@gmail.com;+34872310679;cll 90 #25-71;Tarjeta Crédito;Asus ZenBook 14;Asus;2;3800000;7600000;Dell XPS 13;Dell;2;4800000;9600000;Acer Aspire 5;Acer;1;2000000;2000000;5;18240000
69;30/07/2022;10:25:33 a. m.;Techcore Bogotá #1;Bogotá;Griselda Arnaiz Palacio;Toni Bermudez-Roldan;M;40;toni93@gmail.com;+34924584283;cra 47 #50-20;Tarjeta Crédito;Apple MacBook Air M1;Apple;1;5500000;5500000;Dell Inspiron 15;Dell;1;3000000;3000000;;;null;null;null;5;8075000
70;17/08/2024;7:42:48 a. m.;Techcore Cali;Cali;Jacinta Juárez Marín;Efraín Gomila Barroso;M;34;No especificado;+34810648073;cll 75 #91-12;Transferencia;Lenovo IdeaPad 5;Lenovo;1;2800000;2800000;HP Pavilion 15;HP;2;3500000;7000000;;;null;null;null;0;9800000
71;13/03/2024;10:03:29 p. m.;Techcore Bogotá #2;Bogotá;Eloísa Plaza Hurtado;Blanca Gras-Barreda;F;33;blanca18@gmail.com;+34900904725;cll 83 #22-82;Billetera Digital;HP Spectre x360;HP;1;5200000;5200000;;;null;null;null;;;null;null;null;0;5200000
72;7/07/2018;10:38:49 a. m.;Techcore Bogotá #1;Bogotá;María Belén Alegria Camps;Gustavo Salvà Armas;M;21;gustavo75@hotmail.com;+34633195125;cra 58 #78-32;Efectivo;Acer Aspire 5;Acer;1;2000000;2000000;Apple MacBook Pro 14;Apple;1;8000000;8000000;;;null;null;null;5;9500000
73;2/10/2014;11:42:16 a. m.;Techcore Bogotá #2;Bogotá;Herminia Meléndez-Huguet;Eliseo Jurado Lopez;M;33;No especificado;+34807110217;cll 69 #52-37;Efectivo;Asus VivoBook 15;Asus;1;2400000;2400000;Dell XPS 13;Dell;1;4800000;4800000;;;null;null;null;5;6840000
74;29/10/2014;7:29:22 p. m.;Techcore Medellín #2;Medellín;Juan José Porcel-Riera;Heraclio Valenciano Arana;M;29;heraclio76@yahoo.com;+34848611288;cra 8 #36-31;Tarjeta Crédito;Acer Aspire 5;Acer;2;2000000;4000000;Lenovo ThinkPad X1 Carbon;Lenovo;1;6800000;6800000;Lenovo IdeaPad 5;Lenovo;2;2800000;5600000;1;14760000
75;4/05/2024;9:28:23 p. m.;Techcore Medellín #1;Medellín;Eusebia Jara Macias;Juan Bautista Valcárcel Agullo;M;18;juan58@yahoo.com;+34877812518;cll 30 #12-20;Billetera Digital;Apple MacBook Air M1;Apple;1;5500000;5500000;Apple MacBook Pro 14;Apple;2;8000000;16000000;Dell Alienware m15;Dell;1;8000000;8000000;0;29500000
76;10/03/2020;2:45:22 a. m.;Techcore Medellín #1;Medellín;Ibán López Córdoba;Eustaquio Juan Bernad;M;43;eustaquio79@yahoo.com;+34980035785;cll 75 #84-15;Tarjeta Crédito;HP Spectre x360;HP;1;5200000;5200000;;;null;null;null;;;null;null;null;5;4940000
77;8/01/2020;12:05:10 a. m.;Techcore Bogotá #2;Bogotá;Eloísa Plaza Hurtado;Darío Fermín Tello Clavero;M;37;dario70@hotmail.com;+34872017908;cll 42 #76-4;Tarjeta Débito;HP Pavilion 15;HP;2;3500000;7000000;;;null;null;null;;;null;null;null;5;6650000
78;9/12/2021;4:27:09 a. m.;Techcore Pereira;Pereira;Jose Angel Rovira Adadia;Carmelita Araujo Gomis;F;42;carmelita88@gmail.com;+34886519281;cra 2 #25-61;Tarjeta Crédito;Apple MacBook Air M1;Apple;2;5500000;11000000;Dell Latitude 7420;Dell;2;5600000;11200000;Acer Aspire 5;Acer;1;2000000;2000000;0;24200000
